,has_null,wave,gender,age,age_o,d_age,race,same_race,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sincere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match
293,0,2,female,23.0,28.0,5,european/caucasian-american,1,2.0,4.0,social work,40.0,15.0,20.0,10.0,5.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,20.0,20.0,20.0,15.0,15.0,10.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,7.0,5.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,0.08,7.0,10.0,0.0,6.0,6.0,0.0,0,1,0
294,0,2,female,23.0,28.0,5,european/caucasian-american,1,2.0,4.0,social work,40.0,20.0,20.0,20.0,0.0,0.0,8.0,8.0,7.0,8.0,7.0,6.0,20.0,20.0,20.0,15.0,15.0,10.0,7.0,8.0,8.0,8.0,8.0,2.0,8.0,7.0,2.0,7.0,2.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,0.16,7.0,10.0,0.0,3.0,3.0,0.0,0,1,0
295,0,2,female,23.0,23.0,0,european/caucasian-american,0,2.0,4.0,social work,20.0,25.0,25.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,20.0,20.0,20.0,15.0,15.0,10.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,0.03,7.0,10.0,0.0,6.0,5.0,0.0,0,1,0
299,0,2,female,22.0,24.0,2,latino/hispanic american,0,1.0,5.0,speech language pathology,25.0,35.0,30.0,10.0,0.0,0.0,7.0,6.0,5.0,7.0,3.0,5.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,1.0,6.0,7.0,6.0,4.0,3.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,-0.16,5.0,4.0,1.0,2.0,3.0,1.0,0,1,0
300,0,2,female,22.0,24.0,2,latino/hispanic american,0,1.0,5.0,speech language pathology,25.0,15.0,25.0,25.0,15.0,15.0,9.0,7.0,7.0,7.0,6.0,5.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,1.0,3.0,4.0,2.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,0.44,5.0,4.0,1.0,1.0,4.0,0.0,0,1,0
301,0,2,female,22.0,28.0,6,latino/hispanic american,0,1.0,5.0,speech language pathology,25.0,15.0,25.0,15.0,0.0,20.0,8.0,8.0,7.0,8.0,6.0,7.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,3.0,6.0,6.0,4.0,5.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,-0.27,5.0,4.0,1.0,1.0,2.0,0.0,0,1,0
302,0,2,female,22.0,26.0,4,latino/hispanic american,0,1.0,5.0,speech language pathology,20.0,35.0,20.0,10.0,10.0,5.0,9.0,8.0,8.0,8.0,7.0,9.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,4.0,4.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,0.29,5.0,4.0,1.0,6.0,5.0,0.0,1,1,1
303,0,2,female,22.0,30.0,8,latino/hispanic american,0,1.0,5.0,speech language pathology,20.0,20.0,25.0,25.0,5.0,5.0,7.0,5.0,6.0,6.0,4.0,5.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,1.0,4.0,5.0,4.0,4.0,4.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,-0.28,5.0,4.0,1.0,3.0,5.0,0.0,0,1,0
307,0,2,female,22.0,23.0,1,latino/hispanic american,0,1.0,5.0,speech language pathology,25.0,10.0,35.0,15.0,0.0,15.0,8.0,4.0,4.0,7.0,5.0,3.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,1.0,2.0,6.0,1.0,6.0,2.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,0.2,5.0,4.0,1.0,2.0,3.0,0.0,0,1,0
308,0,2,female,22.0,21.0,1,latino/hispanic american,0,1.0,5.0,speech language pathology,15.0,20.0,15.0,30.0,5.0,15.0,8.0,7.0,7.0,6.0,6.0,7.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,1.0,3.0,7.0,1.0,4.0,2.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,-0.31,5.0,4.0,1.0,1.0,3.0,0.0,0,1,0
309,0,2,female,22.0,28.0,6,latino/hispanic american,0,1.0,5.0,speech language pathology,40.0,15.0,20.0,10.0,5.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,6.0,4.0,8.0,3.0,8.0,2.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,-0.07,5.0,4.0,1.0,3.0,3.0,0.0,0,1,0
310,0,2,female,22.0,28.0,6,latino/hispanic american,0,1.0,5.0,speech language pathology,40.0,20.0,20.0,20.0,0.0,0.0,9.0,9.0,8.0,9.0,8.0,7.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,2.0,4.0,7.0,3.0,6.0,2.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,-0.06,5.0,4.0,1.0,1.0,2.0,0.0,0,1,0
311,0,2,female,22.0,23.0,1,latino/hispanic american,0,1.0,5.0,speech language pathology,20.0,25.0,25.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,5.0,6.0,6.0,4.0,3.0,4.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,-0.16,5.0,4.0,1.0,4.0,1.0,0.0,0,1,0
332,0,2,female,22.0,24.0,2,european/caucasian-american,1,4.0,5.0,social work,25.0,15.0,25.0,25.0,15.0,15.0,7.0,6.0,7.0,6.0,7.0,5.0,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,8.0,6.0,7.0,3.0,7.0,2.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,-0.41,7.0,4.0,3.0,6.0,4.0,0.0,1,1,1
333,0,2,female,22.0,28.0,6,european/caucasian-american,1,4.0,5.0,social work,25.0,15.0,25.0,15.0,0.0,20.0,8.0,8.0,6.0,7.0,6.0,6.0,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,6.0,8.0,7.0,4.0,7.0,2.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,0.08,7.0,4.0,3.0,6.0,4.0,0.0,1,1,1
336,0,2,female,22.0,22.0,0,european/caucasian-american,1,4.0,5.0,social work,30.0,15.0,25.0,25.0,5.0,0.0,6.0,8.0,9.0,5.0,9.0,3.0,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,0.11,7.0,4.0,3.0,8.0,5.0,0.0,1,0,0
337,0,2,female,22.0,25.0,3,european/caucasian-american,0,4.0,5.0,social work,20.0,20.0,20.0,20.0,5.0,15.0,7.0,8.0,8.0,7.0,6.0,5.0,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,7.0,5.0,6.0,8.0,6.0,4.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,0.2,7.0,4.0,3.0,5.0,6.0,0.0,0,1,0
339,0,2,female,22.0,23.0,1,european/caucasian-american,1,4.0,5.0,social work,25.0,10.0,35.0,15.0,0.0,15.0,5.0,8.0,5.0,3.0,3.0,3.0,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,6.0,7.0,7.0,4.0,6.0,6.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,-0.05,7.0,4.0,3.0,6.0,5.0,0.0,1,0,0
340,0,2,female,22.0,21.0,1,european/caucasian-american,1,4.0,5.0,social work,15.0,20.0,15.0,30.0,5.0,15.0,5.0,7.0,6.0,7.0,5.0,5.0,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,6.0,8.0,8.0,5.0,7.0,5.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,0.42,7.0,4.0,3.0,8.0,7.0,0.0,1,0,0
343,0,2,female,22.0,23.0,1,european/caucasian-american,0,4.0,5.0,social work,20.0,25.0,25.0,10.0,10.0,10.0,6.0,8.0,8.0,8.0,9.0,6.0,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,6.0,8.0,7.0,6.0,5.0,3.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,0.52,7.0,4.0,3.0,6.0,6.0,0.0,1,0,0
344,0,2,female,23.0,25.0,2,european/caucasian-american,0,2.0,4.0,law,25.0,20.0,25.0,20.0,10.0,0.0,6.0,6.0,8.0,7.0,8.0,4.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,3.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,0.19,3.0,2.0,1.0,6.0,5.0,0.0,0,0,0
347,0,2,female,23.0,24.0,1,european/caucasian-american,1,2.0,4.0,law,25.0,35.0,30.0,10.0,0.0,0.0,3.0,4.0,7.0,3.0,7.0,1.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,4.0,6.0,6.0,5.0,7.0,6.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,0.21,3.0,2.0,1.0,6.0,5.0,0.0,0,0,0
348,0,2,female,23.0,24.0,1,european/caucasian-american,1,2.0,4.0,law,25.0,15.0,25.0,25.0,15.0,15.0,7.0,7.0,7.0,7.0,6.0,7.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,6.0,9.0,7.0,5.0,6.0,3.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,-0.27,3.0,2.0,1.0,7.0,4.0,0.0,0,1,0
349,0,2,female,23.0,28.0,5,european/caucasian-american,1,2.0,4.0,law,25.0,15.0,25.0,15.0,0.0,20.0,6.0,6.0,6.0,6.0,6.0,5.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,4.0,5.0,5.0,2.0,6.0,5.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,-0.41,3.0,2.0,1.0,4.0,3.0,0.0,0,1,0
350,0,2,female,23.0,26.0,3,european/caucasian-american,1,2.0,4.0,law,20.0,35.0,20.0,10.0,10.0,5.0,6.0,8.0,8.0,9.0,8.0,6.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,-0.02,3.0,2.0,1.0,7.0,6.0,0.0,0,0,0
351,0,2,female,23.0,30.0,7,european/caucasian-american,1,2.0,4.0,law,20.0,20.0,25.0,25.0,5.0,5.0,9.0,5.0,6.0,3.0,6.0,3.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,0.09,3.0,2.0,1.0,8.0,6.0,0.0,0,0,0
355,0,2,female,23.0,23.0,0,european/caucasian-american,1,2.0,4.0,law,25.0,10.0,35.0,15.0,0.0,15.0,3.0,5.0,6.0,2.0,6.0,4.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,-0.27,3.0,2.0,1.0,4.0,4.0,0.0,0,0,0
356,0,2,female,23.0,21.0,2,european/caucasian-american,1,2.0,4.0,law,15.0,20.0,15.0,30.0,5.0,15.0,6.0,7.0,7.0,6.0,6.0,4.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,3.0,7.0,8.0,6.0,7.0,5.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,0.11,3.0,2.0,1.0,7.0,7.0,0.0,0,0,0
357,0,2,female,23.0,28.0,5,european/caucasian-american,1,2.0,4.0,law,40.0,15.0,20.0,10.0,5.0,10.0,6.0,8.0,8.0,7.0,8.0,6.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,0.16,3.0,2.0,1.0,9.0,6.0,0.0,1,0,0
358,0,2,female,23.0,28.0,5,european/caucasian-american,1,2.0,4.0,law,40.0,20.0,20.0,20.0,0.0,0.0,6.0,8.0,8.0,7.0,8.0,6.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,3.0,5.0,8.0,4.0,7.0,6.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,0.21,3.0,2.0,1.0,6.0,5.0,0.0,0,0,0
359,0,2,female,23.0,23.0,0,european/caucasian-american,0,2.0,4.0,law,20.0,25.0,25.0,10.0,10.0,10.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,0.49,3.0,2.0,1.0,8.0,5.0,0.0,1,1,1
360,0,2,female,24.0,25.0,1,european/caucasian-american,0,4.0,8.0,law,25.0,20.0,25.0,20.0,10.0,0.0,7.0,5.0,4.0,4.0,8.0,3.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,4.0,6.0,6.0,6.0,6.0,4.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,-0.19,5.0,4.0,3.0,5.0,4.0,0.0,0,0,0
363,0,2,female,24.0,24.0,0,european/caucasian-american,1,4.0,8.0,law,25.0,35.0,30.0,10.0,0.0,0.0,6.0,6.0,6.0,6.0,5.0,3.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,4.0,5.0,6.0,5.0,5.0,5.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,-0.48,5.0,4.0,3.0,5.0,4.0,0.0,0,1,0
364,0,2,female,24.0,24.0,0,european/caucasian-american,1,4.0,8.0,law,25.0,15.0,25.0,25.0,15.0,15.0,9.0,7.0,7.0,6.0,7.0,7.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,4.0,6.0,7.0,5.0,8.0,5.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,0.0,5.0,4.0,3.0,5.0,4.0,0.0,0,1,0
365,0,2,female,24.0,28.0,4,european/caucasian-american,1,4.0,8.0,law,25.0,15.0,25.0,15.0,0.0,20.0,9.0,8.0,8.0,7.0,8.0,6.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,4.0,5.0,7.0,3.0,6.0,4.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,-0.38,5.0,4.0,3.0,5.0,4.0,0.0,0,1,0
366,0,2,female,24.0,26.0,2,european/caucasian-american,1,4.0,8.0,law,20.0,35.0,20.0,10.0,10.0,5.0,9.0,6.0,7.0,6.0,7.0,8.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,9.0,6.0,7.0,7.0,6.0,5.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,-0.34,5.0,4.0,3.0,7.0,4.0,0.0,0,1,0
367,0,2,female,24.0,30.0,6,european/caucasian-american,1,4.0,8.0,law,20.0,20.0,25.0,25.0,5.0,5.0,7.0,6.0,6.0,5.0,7.0,5.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,2.0,3.0,4.0,2.0,6.0,2.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,-0.27,5.0,4.0,3.0,4.0,3.0,0.0,0,1,0
371,0,2,female,24.0,23.0,1,european/caucasian-american,1,4.0,8.0,law,25.0,10.0,35.0,15.0,0.0,15.0,7.0,7.0,7.0,4.0,5.0,5.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,4.0,6.0,5.0,5.0,5.0,5.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,-0.35,5.0,4.0,3.0,5.0,4.0,0.0,0,1,0
372,0,2,female,24.0,21.0,3,european/caucasian-american,1,4.0,8.0,law,15.0,20.0,15.0,30.0,5.0,15.0,8.0,8.0,8.0,6.0,7.0,5.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,3.0,8.0,8.0,5.0,5.0,5.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,0.03,5.0,4.0,3.0,6.0,4.0,1.0,0,1,0
373,0,2,female,24.0,28.0,4,european/caucasian-american,1,4.0,8.0,law,40.0,15.0,20.0,10.0,5.0,10.0,8.0,8.0,9.0,8.0,9.0,7.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,7.0,6.0,6.0,6.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,0.4,5.0,4.0,3.0,6.5,6.0,0.0,0,1,0
374,0,2,female,24.0,28.0,4,european/caucasian-american,1,4.0,8.0,law,40.0,20.0,20.0,20.0,0.0,0.0,8.0,8.0,8.0,8.0,7.0,7.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,4.0,5.0,6.0,4.0,5.0,5.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,0.26,5.0,4.0,3.0,5.0,5.0,0.0,0,1,0
375,0,2,female,24.0,23.0,1,european/caucasian-american,0,4.0,8.0,law,20.0,25.0,25.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,8.0,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,-0.32,5.0,4.0,3.0,8.5,9.0,1.0,1,1,1
379,0,2,female,27.0,24.0,3,asian/pacific islander/asian-american,0,1.0,1.0,psychology,25.0,35.0,30.0,10.0,0.0,0.0,5.0,6.0,7.0,4.0,4.0,3.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,5.0,7.0,7.0,6.0,9.0,5.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,-0.13,3.0,0.0,0.0,5.0,3.0,0.0,0,0,0
380,0,2,female,27.0,24.0,3,asian/pacific islander/asian-american,0,1.0,1.0,psychology,25.0,15.0,25.0,25.0,15.0,15.0,7.0,6.0,6.0,7.0,7.0,8.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,5.0,7.0,9.0,5.0,4.0,6.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,-0.11,3.0,0.0,0.0,6.0,3.0,0.0,0,1,0
381,0,2,female,27.0,28.0,1,asian/pacific islander/asian-american,0,1.0,1.0,psychology,25.0,15.0,25.0,15.0,0.0,20.0,9.0,8.0,8.0,8.0,8.0,7.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,8.0,8.0,9.0,5.0,9.0,6.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,-0.19,3.0,0.0,0.0,8.0,5.0,0.0,0,1,0
383,0,2,female,27.0,30.0,3,asian/pacific islander/asian-american,0,1.0,1.0,psychology,20.0,20.0,25.0,25.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,5.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,0.06,3.0,0.0,0.0,6.0,5.0,0.0,0,1,0
384,0,2,female,27.0,22.0,5,asian/pacific islander/asian-american,0,1.0,1.0,psychology,30.0,15.0,25.0,25.0,5.0,0.0,5.0,6.0,8.0,5.0,8.0,3.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,7.0,8.0,7.0,9.0,6.0,4.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,0.52,3.0,0.0,0.0,7.0,2.0,0.0,0,0,0
385,0,2,female,27.0,25.0,2,asian/pacific islander/asian-american,1,1.0,1.0,psychology,20.0,20.0,20.0,20.0,5.0,15.0,7.0,7.0,8.0,7.0,7.0,6.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,6.0,8.0,9.0,9.0,6.0,6.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,0.0,3.0,0.0,0.0,7.0,5.0,0.0,0,1,0
387,0,2,female,27.0,23.0,4,asian/pacific islander/asian-american,0,1.0,1.0,psychology,25.0,10.0,35.0,15.0,0.0,15.0,8.0,7.0,7.0,9.0,5.0,4.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,5.0,6.0,7.0,6.0,7.0,5.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,-0.41,3.0,0.0,0.0,5.0,3.0,0.0,0,0,0
388,0,2,female,27.0,21.0,6,asian/pacific islander/asian-american,0,1.0,1.0,psychology,15.0,20.0,15.0,30.0,5.0,15.0,6.0,7.0,7.0,7.0,6.0,5.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,4.0,7.0,6.0,6.0,9.0,4.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,0.17,3.0,0.0,0.0,5.0,3.0,0.0,0,1,0
389,0,2,female,27.0,28.0,1,asian/pacific islander/asian-american,0,1.0,1.0,psychology,40.0,15.0,20.0,10.0,5.0,10.0,8.0,9.0,9.0,8.0,9.0,7.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,7.0,6.0,9.0,8.0,9.0,9.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,0.5,3.0,0.0,0.0,7.0,5.0,0.0,0,1,0
390,0,2,female,27.0,28.0,1,asian/pacific islander/asian-american,0,1.0,1.0,psychology,40.0,20.0,20.0,20.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,6.0,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,7.0,6.0,9.0,8.0,9.0,9.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,0.19,3.0,0.0,0.0,7.0,5.0,0.0,0,1,0
